seed,duration_ms,trials,cue,root_id,cell_type,side,rate_hz
20260317,1000.0,5,a,720575940609959637,MBON32,left,42.4
20260317,1000.0,5,a,720575940610647416,MBON10,right,0.2
20260317,1000.0,5,a,720575940610964946,MBON09,right,20.8
20260317,1000.0,5,a,720575940615221811,MBON10,right,0.2
20260317,1000.0,5,a,720575940617302365,MBON07,left,46.0
20260317,1000.0,5,a,720575940617552340,MBON02,right,47.0
20260317,1000.0,5,a,720575940617749538,MBON11,right,0.8
20260317,1000.0,5,a,720575940621828443,MBON12,left,11.0
20260317,1000.0,5,a,720575940622979277,MBON27,left,2.8
20260317,1000.0,5,a,720575940623182847,MBON33,left,1.2
20260317,1000.0,5,a,720575940623201833,MBON11,left,98.8
20260317,1000.0,5,a,720575940623377802,MBON16,left,0.8
20260317,1000.0,5,a,720575940624185095,MBON02,left,41.0
20260317,1000.0,5,a,720575940624539284,MBON18,left,15.8
20260317,1000.0,5,a,720575940624590316,MBON03,right,79.8
20260317,1000.0,5,a,720575940628734376,MBON04,right,16.4
20260317,1000.0,5,a,720575940629422086,MBON09,left,107.8
20260317,1000.0,5,a,720575940629856515,MBON09,left,107.6
20260317,1000.0,5,a,720575940630075703,MBON12,left,5.4
20260317,1000.0,5,a,720575940630496374,MBON05,right,1.2
20260317,1000.0,5,a,720575940630864847,MBON09,right,22.0
20260317,1000.0,5,a,720575940631177803,MBON24,left,1.2
20260317,1000.0,5,a,720575940632118343,MBON10,left,0.2
20260317,1000.0,5,a,720575940632535756,MBON14,left,69.8
20260317,1000.0,5,a,720575940636992368,MBON31,right,0.8
20260317,1000.0,5,a,720575940637902938,MBON35,left,22.8
20260317,1000.0,5,a,720575940638028607,MBON06,right,1.6
20260317,1000.0,5,a,720575940638774606,MBON17,left,0.2
20260317,1000.0,5,a,720575940639556467,MBON10,right,0.2
20260317,1000.0,5,a,720575940642142861,MBON10,left,0.2
20260317,1000.0,5,a,720575940643696288,MBON14,left,81.4
20260317,1000.0,5,a,720575940645304430,MBON13,left,2.2
20260317,1000.0,5,a,720575940647328900,MBON10,right,0.2
20260317,1000.0,5,a,720575940652390134,MBON07,left,0.8
