seed,duration_ms,trials,rate_hz_stim,root_id,cell_type,side,rate_hz
20260316,1000.0,5,120.0,720575940609959637,MBON32,left,26.4
20260316,1000.0,5,120.0,720575940610964946,MBON09,right,6.8
20260316,1000.0,5,120.0,720575940617302365,MBON07,left,27.2
20260316,1000.0,5,120.0,720575940617552340,MBON02,right,34.2
20260316,1000.0,5,120.0,720575940617749538,MBON11,right,0.4
20260316,1000.0,5,120.0,720575940621828443,MBON12,left,5.0
20260316,1000.0,5,120.0,720575940622979277,MBON27,left,0.4
20260316,1000.0,5,120.0,720575940623201833,MBON11,left,74.6
20260316,1000.0,5,120.0,720575940624185095,MBON02,left,30.0
20260316,1000.0,5,120.0,720575940624539284,MBON18,left,6.2
20260316,1000.0,5,120.0,720575940624590316,MBON03,right,67.6
20260316,1000.0,5,120.0,720575940628734376,MBON04,right,3.4
20260316,1000.0,5,120.0,720575940629422086,MBON09,left,94.0
20260316,1000.0,5,120.0,720575940629856515,MBON09,left,93.8
20260316,1000.0,5,120.0,720575940630075703,MBON12,left,2.4
20260316,1000.0,5,120.0,720575940630496374,MBON05,right,0.4
20260316,1000.0,5,120.0,720575940630864847,MBON09,right,9.0
20260316,1000.0,5,120.0,720575940631177803,MBON24,left,1.2
20260316,1000.0,5,120.0,720575940632535756,MBON14,left,56.8
20260316,1000.0,5,120.0,720575940637902938,MBON35,left,12.8
20260316,1000.0,5,120.0,720575940638028607,MBON06,right,0.2
20260316,1000.0,5,120.0,720575940643696288,MBON14,left,67.6
20260316,1000.0,5,120.0,720575940645304430,MBON13,left,0.4
