condition,root_id,side,rate_hz
baseline,720575940602553568,right,0.0
baseline,720575940602564320,right,0.0
baseline,720575940602605536,right,0.0
baseline,720575940602815200,left,0.0
baseline,720575940602829536,left,0.0
baseline,720575940603045804,right,0.0
baseline,720575940603050668,right,0.0
baseline,720575940603084972,right,0.0
baseline,720575940603111392,right,0.0
baseline,720575940603174368,right,0.0
baseline,720575940603268064,left,0.0
baseline,720575940603317216,left,0.0
baseline,720575940603520172,left,0.0
baseline,720575940603642982,right,0.0
baseline,720575940603673120,right,0.0
baseline,720575940603674656,right,0.0
baseline,720575940603687084,left,0.0
baseline,720575940603688224,right,0.0
baseline,720575940603719712,right,0.0
baseline,720575940603721248,right,0.0
baseline,720575940603747616,right,0.0
baseline,720575940603751782,right,0.0
baseline,720575940603773798,right,0.0
baseline,720575940603882720,left,0.0
baseline,720575940603883232,left,0.0
baseline,720575940603984486,left,0.0
baseline,720575940603988838,left,0.0
baseline,720575940604008672,right,0.0
baseline,720575940604050110,left,0.0
baseline,720575940604093984,left,0.0
baseline,720575940604103200,left,0.0
baseline,720575940604126129,left,0.0
baseline,720575940604131296,left,0.0
baseline,720575940604132710,left,0.0
baseline,720575940604168224,left,0.0
baseline,720575940604182374,left,0.0
baseline,720575940604249790,left,0.0
baseline,720575940604304561,left,0.0
baseline,720575940604318129,left,0.0
baseline,720575940604319078,right,0.0
baseline,720575940604402092,left,0.0
baseline,720575940604435046,left,0.0
baseline,720575940604466912,left,0.0
baseline,720575940604478176,right,0.0
baseline,720575940604483040,right,0.0
baseline,720575940604489649,right,0.0
baseline,720575940604493024,left,0.0
baseline,720575940604497888,left,0.0
baseline,720575940604500448,left,0.0
baseline,720575940604505278,left,0.0
baseline,720575940604509374,left,0.0
baseline,720575940604550590,left,0.0
baseline,720575940604557792,left,0.0
baseline,720575940604576689,left,0.0
baseline,720575940604620512,left,0.0
baseline,720575940604626912,left,0.0
baseline,720575940604630240,right,0.0
baseline,720575940604630496,right,0.0
baseline,720575940604766153,right,0.0
baseline,720575940604770249,right,0.0
baseline,720575940604806345,right,0.0
baseline,720575940604824236,left,0.0
baseline,720575940604833196,left,0.0
baseline,720575940604860332,right,0.0
baseline,720575940604884396,right,0.0
baseline,720575940604908972,left,0.0
baseline,720575940604924606,left,0.0
baseline,720575940604934572,right,0.0
baseline,720575940604935340,right,0.0
baseline,720575940604961126,left,0.0
baseline,720575940604961894,left,0.0
baseline,720575940604962918,right,0.0
baseline,720575940604963686,left,0.0
baseline,720575940604963942,right,0.0
baseline,720575940604978534,left,0.0
baseline,720575940604985888,left,0.0
baseline,720575940604991264,left,0.0
baseline,720575940604997152,right,0.0
baseline,720575940604999526,right,0.0
baseline,720575940605000550,right,0.0
baseline,720575940605029250,right,0.0
baseline,720575940605036418,right,0.0
baseline,720575940605060798,left,0.0
baseline,720575940605083838,right,0.0
baseline,720575940605167025,right,0.0
baseline,720575940605171121,right,0.0
baseline,720575940605180337,right,0.0
baseline,720575940605180849,left,0.0
baseline,720575940605184102,right,0.0
baseline,720575940605196465,right,0.0
baseline,720575940605197745,right,0.0
baseline,720575940605199305,left,0.0
baseline,720575940605236866,left,0.0
baseline,720575940605246850,left,0.0
baseline,720575940605252041,right,0.0
baseline,720575940605290441,right,0.0
baseline,720575940605312945,left,0.0
baseline,720575940605338290,right,0.0
baseline,720575940605350066,right,0.0
baseline,720575940605362610,right,0.0
baseline,720575940605407846,right,0.0
baseline,720575940605412738,left,0.0
baseline,720575940605421670,left,0.0
baseline,720575940605424416,right,0.0
baseline,720575940605431840,left,0.0
baseline,720575940605436262,left,0.0
baseline,720575940605441312,left,0.0
baseline,720575940605449929,left,0.0
baseline,720575940605451552,right,0.0
baseline,720575940605452064,right,0.0
baseline,720575940605488416,right,0.0
baseline,720575940605491302,left,0.0
baseline,720575940605507249,right,0.0
baseline,720575940605528422,left,0.0
baseline,720575940605541920,right,0.0
baseline,720575940605544370,left,0.0
baseline,720575940605550950,right,0.0
baseline,720575940605551038,left,0.0
baseline,720575940605551718,right,0.0
baseline,720575940605552742,right,0.0
baseline,720575940605557438,left,0.0
baseline,720575940605559986,left,0.0
baseline,720575940605565886,right,0.0
baseline,720575940605597216,right,0.0
baseline,720575940605606274,right,0.0
baseline,720575940605619744,left,0.0
baseline,720575940605620670,left,0.0
baseline,720575940605620926,left,0.0
baseline,720575940605621024,left,0.0
baseline,720575940605625376,left,0.0
baseline,720575940605627057,right,0.0
baseline,720575940605664446,right,0.0
baseline,720575940605664702,left,0.0
baseline,720575940605705650,left,0.0
baseline,720575940605792434,right,0.0
baseline,720575940605792946,right,0.0
baseline,720575940605817522,right,0.0
baseline,720575940605829297,left,0.0
baseline,720575940605841074,left,0.0
baseline,720575940605925600,left,0.0
baseline,720575940605934001,right,0.0
baseline,720575940605985202,left,0.0
baseline,720575940605995209,left,0.0
baseline,720575940605997257,right,0.0
baseline,720575940605997513,right,0.0
baseline,720575940606009801,left,0.0
baseline,720575940606123698,left,0.0
baseline,720575940606195657,left,0.0
baseline,720575940606201278,left,0.0
baseline,720575940606331996,right,0.0
baseline,720575940606335106,left,0.0
baseline,720575940606341250,right,0.0
baseline,720575940606347394,right,0.0
baseline,720575940606399068,right,0.0
baseline,720575940606433713,left,0.0
baseline,720575940606436128,left,0.0
baseline,720575940606452681,right,0.0
baseline,720575940606454108,right,0.0
baseline,720575940606477660,right,0.0
baseline,720575940606483467,right,0.0
baseline,720575940606483723,right,0.0
baseline,720575940606496011,right,0.0
baseline,720575940606515292,right,0.0
baseline,720575940606549961,right,0.0
baseline,720575940606579465,right,0.0
baseline,720575940606602674,left,0.0
baseline,720575940606621362,right,0.0
baseline,720575940606662322,left,0.0
baseline,720575940606663625,left,0.0
baseline,720575940606666953,right,0.0
baseline,720575940606667977,right,0.0
baseline,720575940606675804,left,0.0
baseline,720575940606680706,right,0.0
baseline,720575940606683915,left,0.0
baseline,720575940606687499,left,0.0
baseline,720575940606691932,left,0.0
baseline,720575940606694748,left,0.0
baseline,720575940606698697,right,0.0
baseline,720575940606700043,left,0.0
baseline,720575940606715337,left,0.0
baseline,720575940606725131,left,0.0
baseline,720575940606729858,right,0.0
baseline,720575940606730076,left,0.0
baseline,720575940606745289,left,0.0
baseline,720575940606747593,left,0.0
baseline,720575940606773705,left,0.0
baseline,720575940606775654,left,0.0
baseline,720575940606783362,right,0.0
baseline,720575940606796722,left,0.0
baseline,720575940606850434,left,0.0
baseline,720575940606851714,left,0.0
baseline,720575940606853250,left,0.0
baseline,720575940606864341,right,0.0
baseline,720575940606890370,left,0.0
baseline,720575940606891221,right,0.0
baseline,720575940606892162,right,0.0
baseline,720575940606892674,right,0.0
baseline,720575940606893186,right,0.0
baseline,720575940606902741,right,0.0
baseline,720575940606909195,left,0.0
baseline,720575940606910850,left,0.0
baseline,720575940606929419,left,0.0
baseline,720575940606940425,left,0.0
baseline,720575940606941397,right,0.0
baseline,720575940606947714,right,0.0
baseline,720575940606947970,left,0.0
baseline,720575940606948188,left,0.0
baseline,720575940606954114,right,0.0
baseline,720575940606954507,left,0.0
baseline,720575940606954763,left,0.0
baseline,720575940606963586,right,0.0
baseline,720575940606967682,right,0.0
baseline,720575940606967730,right,0.0
baseline,720575940606968450,right,0.0
baseline,720575940606968962,right,0.0
baseline,720575940607010825,right,0.0
baseline,720575940607030281,right,0.0
baseline,720575940607038386,left,0.0
baseline,720575940607054770,right,0.0
baseline,720575940607146162,left,0.0
baseline,720575940607154955,left,0.0
baseline,720575940607168523,left,0.0
baseline,720575940607168779,left,0.0
baseline,720575940607177739,left,0.0
baseline,720575940607177906,left,0.0
baseline,720575940607180722,left,0.0
baseline,720575940607185074,left,0.0
baseline,720575940607280306,right,0.0
baseline,720575940607280818,right,0.0
baseline,720575940607310531,right,0.0
baseline,720575940607330499,right,0.0
baseline,720575940607337155,right,0.0
baseline,720575940607337923,right,0.0
baseline,720575940607348931,right,0.0
baseline,720575940607351747,right,0.0
baseline,720575940607352003,right,0.0
baseline,720575940607520451,left,0.0
baseline,720575940607623875,left,0.0
baseline,720575940607674563,left,0.0
baseline,720575940607685571,left,0.0
baseline,720575940607698627,left,0.0
baseline,720575940607715420,right,0.0
baseline,720575940607721923,left,0.0
baseline,720575940607722179,left,0.0
baseline,720575940607763467,right,0.0
baseline,720575940607792139,right,0.0
baseline,720575940607793675,left,0.0
baseline,720575940607804939,right,0.0
baseline,720575940607809547,left,0.0
baseline,720575940607828233,right,0.0
baseline,720575940607900867,left,0.0
baseline,720575940607930716,right,0.0
baseline,720575940607971908,right,0.0
baseline,720575940607978820,right,0.0
baseline,720575940607981636,right,0.0
baseline,720575940607983369,left,0.0
baseline,720575940607984651,right,0.0
baseline,720575940607993668,right,0.0
baseline,720575940608015627,right,0.0
baseline,720575940608126386,left,0.0
baseline,720575940608145877,right,0.0
baseline,720575940608148693,right,0.0
baseline,720575940608152021,left,0.0
baseline,720575940608158300,left,0.0
baseline,720575940608158677,left,0.0
baseline,720575940608176514,right,0.0
baseline,720575940608177988,left,0.0
baseline,720575940608184156,left,0.0
baseline,720575940608191836,right,0.0
baseline,720575940608192860,left,0.0
baseline,720575940608211268,left,0.0
baseline,720575940608277852,left,0.0
baseline,720575940608281180,right,0.0
baseline,720575940608286556,right,0.0
baseline,720575940608312533,right,0.0
baseline,720575940608313301,left,0.0
baseline,720575940608328713,right,0.0
baseline,720575940608344331,left,0.0
baseline,720575940608345867,right,0.0
baseline,720575940608363844,left,0.0
baseline,720575940608383243,right,0.0
baseline,720575940608386315,right,0.0
baseline,720575940608393739,right,0.0
baseline,720575940608399115,left,0.0
baseline,720575940608407049,left,0.0
baseline,720575940608407305,left,0.0
baseline,720575940608413193,left,0.0
baseline,720575940608428555,left,0.0
baseline,720575940608433476,right,0.0
baseline,720575940608437769,left,0.0
baseline,720575940608447241,right,0.0
baseline,720575940608452617,left,0.0
baseline,720575940608456715,right,0.0
baseline,720575940608471563,left,0.0
baseline,720575940608496835,left,0.0
baseline,720575940608505795,right,0.0
baseline,720575940608517385,right,0.0
baseline,720575940608524483,right,0.0
baseline,720575940608525763,left,0.0
baseline,720575940608527150,right,0.0
baseline,720575940608527299,left,0.0
baseline,720575940608530955,left,0.0
baseline,720575940608532675,right,0.0
baseline,720575940608535747,left,0.0
baseline,720575940608535819,left,0.0
baseline,720575940608537027,left,0.0
baseline,720575940608544011,left,0.0
baseline,720575940608550409,right,0.0
baseline,720575940608564233,left,0.0
baseline,720575940608571145,left,0.0
baseline,720575940608621614,right,0.0
baseline,720575940608631342,right,0.0
baseline,720575940608633045,left,0.0
baseline,720575940608633134,right,0.0
baseline,720575940608644654,right,0.0
baseline,720575940608655918,right,0.0
baseline,720575940608657621,right,0.0
baseline,720575940608662485,right,0.0
baseline,720575940608662574,right,0.0
baseline,720575940608663765,left,0.0
baseline,720575940608682453,left,0.0
baseline,720575940608708875,left,0.0
baseline,720575940608767957,left,0.0
baseline,720575940608768213,right,0.0
baseline,720575940608772821,right,0.0
baseline,720575940608774776,right,0.0
baseline,720575940608801749,right,0.0
baseline,720575940608806776,right,0.0
baseline,720575940608810709,left,0.0
baseline,720575940608820600,right,0.0
baseline,720575940608823509,right,0.0
baseline,720575940608997571,left,0.0
baseline,720575940609006200,left,0.0
baseline,720575940609006712,left,0.0
baseline,720575940609066030,right,0.0
baseline,720575940609097058,right,0.0
baseline,720575940609104579,right,0.0
baseline,720575940609132642,right,0.0
baseline,720575940609133102,right,0.0
baseline,720575940609143672,right,0.0
baseline,720575940609149394,right,0.0
baseline,720575940609153746,right,0.0
baseline,720575940609163986,right,0.0
baseline,720575940609169762,right,0.0
baseline,720575940609171576,left,0.0
baseline,720575940609179331,right,0.0
baseline,720575940609184210,right,0.0
baseline,720575940609190866,right,0.0
baseline,720575940609200708,left,0.0
baseline,720575940609202244,left,0.0
