condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,mbons_nonzero,720575940606953858,MBON23,right,51.2
odor_a_da1_left,mbons_nonzero,720575940609959637,MBON32,left,145.8
odor_a_da1_left,mbons_nonzero,720575940610647416,MBON10,right,53.8
odor_a_da1_left,mbons_nonzero,720575940610964946,MBON09,right,196.0
odor_a_da1_left,mbons_nonzero,720575940611344078,MBON20,right,123.0
odor_a_da1_left,mbons_nonzero,720575940612455338,MBON15,right,34.2
odor_a_da1_left,mbons_nonzero,720575940614026193,MBON14,right,145.8
odor_a_da1_left,mbons_nonzero,720575940614392999,MBON29,left,1.4
odor_a_da1_left,mbons_nonzero,720575940614595218,MBON28,left,14.2
odor_a_da1_left,mbons_nonzero,720575940614892182,MBON28,right,10.6
odor_a_da1_left,mbons_nonzero,720575940615221811,MBON10,right,57.2
odor_a_da1_left,mbons_nonzero,720575940616463477,MBON22,left,136.4
odor_a_da1_left,mbons_nonzero,720575940617302365,MBON07,left,162.0
odor_a_da1_left,mbons_nonzero,720575940617552340,MBON02,right,149.0
odor_a_da1_left,mbons_nonzero,720575940617567206,MBON23,left,1.0
odor_a_da1_left,mbons_nonzero,720575940617749538,MBON11,right,229.0
odor_a_da1_left,mbons_nonzero,720575940618008859,MBON30,left,2.0
odor_a_da1_left,mbons_nonzero,720575940620715224,MBON21,left,1.0
odor_a_da1_left,mbons_nonzero,720575940621164720,MBON05,left,207.2
odor_a_da1_left,mbons_nonzero,720575940621828443,MBON12,left,142.2
odor_a_da1_left,mbons_nonzero,720575940622093436,MBON15,right,14.2
odor_a_da1_left,mbons_nonzero,720575940622997453,MBON18,right,4.4
odor_a_da1_left,mbons_nonzero,720575940623001480,MBON12,right,126.6
odor_a_da1_left,mbons_nonzero,720575940623182847,MBON33,left,76.0
odor_a_da1_left,mbons_nonzero,720575940623201833,MBON11,left,232.6
odor_a_da1_left,mbons_nonzero,720575940623381956,MBON07,right,131.2
odor_a_da1_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,18.8
