condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,mbons_nonzero,720575940606953858,MBON23,right,71.6
odor_a_da1_left,mbons_nonzero,720575940609959637,MBON32,left,162.6
odor_a_da1_left,mbons_nonzero,720575940610647416,MBON10,right,51.8
odor_a_da1_left,mbons_nonzero,720575940610964946,MBON09,right,208.0
odor_a_da1_left,mbons_nonzero,720575940611344078,MBON20,right,129.2
odor_a_da1_left,mbons_nonzero,720575940612455338,MBON15,right,35.8
odor_a_da1_left,mbons_nonzero,720575940614026193,MBON14,right,180.2
odor_a_da1_left,mbons_nonzero,720575940614392999,MBON29,left,1.6
odor_a_da1_left,mbons_nonzero,720575940614595218,MBON28,left,7.2
odor_a_da1_left,mbons_nonzero,720575940614892182,MBON28,right,8.4
odor_a_da1_left,mbons_nonzero,720575940615221811,MBON10,right,56.2
odor_a_da1_left,mbons_nonzero,720575940616463477,MBON22,left,197.6
odor_a_da1_left,mbons_nonzero,720575940617302365,MBON07,left,201.4
odor_a_da1_left,mbons_nonzero,720575940617552340,MBON02,right,189.8
odor_a_da1_left,mbons_nonzero,720575940617567206,MBON23,left,6.0
odor_a_da1_left,mbons_nonzero,720575940617749538,MBON11,right,244.4
odor_a_da1_left,mbons_nonzero,720575940618008859,MBON30,left,58.2
odor_a_da1_left,mbons_nonzero,720575940620715224,MBON21,left,28.0
odor_a_da1_left,mbons_nonzero,720575940621164720,MBON05,left,227.6
odor_a_da1_left,mbons_nonzero,720575940621777391,MBON21,right,26.6
odor_a_da1_left,mbons_nonzero,720575940621828443,MBON12,left,154.0
odor_a_da1_left,mbons_nonzero,720575940622093436,MBON15,right,17.2
odor_a_da1_left,mbons_nonzero,720575940622997453,MBON18,right,124.2
odor_a_da1_left,mbons_nonzero,720575940623001480,MBON12,right,137.4
odor_a_da1_left,mbons_nonzero,720575940623182847,MBON33,left,82.2
odor_a_da1_left,mbons_nonzero,720575940623201833,MBON11,left,249.8
odor_a_da1_left,mbons_nonzero,720575940623381956,MBON07,right,175.4
odor_a_da1_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,28.8
odor_a_da1_left,mbons_nonzero,720575940623905719,MBON12,right,136.4
odor_a_da1_left,mbons_nonzero,720575940624117245,MBON01,right,198.0
odor_a_da1_left,mbons_nonzero,720575940624185095,MBON02,left,167.4
odor_a_da1_left,mbons_nonzero,720575940624280328,MBON33,right,59.0
odor_a_da1_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,58.8
odor_a_da1_left,mbons_nonzero,720575940624539284,MBON18,left,161.8
