condition,rank,cell_type,cell_class,n_total,n_active,fraction_active,mean_rate_hz
baseline,1,5-HT-IR  Tan,ME>LA,6,0,0.0,0.0
baseline,2,LC18,None,188,0,0.0,0.0
baseline,3,LC14a1,bilateral,30,0,0.0,0.0
baseline,4,LC14a2,bilateral,23,0,0.0,0.0
baseline,5,LC14b,bilateral,38,0,0.0,0.0
baseline,6,LC15,None,106,0,0.0,0.0
baseline,7,LC16,None,151,0,0.0,0.0
baseline,8,LC17,None,276,0,0.0,0.0
baseline,9,LC19,None,15,0,0.0,0.0
baseline,10,LC27,None,37,0,0.0,0.0
baseline,11,LC20a,None,46,0,0.0,0.0
baseline,12,LC20b,LO,47,0,0.0,0.0
baseline,13,LC21,None,130,0,0.0,0.0
baseline,14,LC22,None,89,0,0.0,0.0
baseline,15,LC24,None,75,0,0.0,0.0
baseline,16,LC25,None,60,0,0.0,0.0
baseline,17,LC13,None,145,0,0.0,0.0
baseline,18,LC12,None,380,0,0.0,0.0
baseline,19,LC11,None,127,0,0.0,0.0
baseline,20,LC10f,None,4,0,0.0,0.0
odor_a_da1_left,1,APL,MBIN,2,2,1.0,336.29999999999995
odor_a_da1_left,2,v2LN30,ALLN,2,2,1.0,295.4
odor_a_da1_left,3,il3LN6,ALLN,2,2,1.0,287.9
odor_a_da1_left,4,lLN1_bc,ALLN,30,30,1.0,285.9266666666666
odor_a_da1_left,5,lLN2X03,ALLN,6,6,1.0,285.1
odor_a_da1_left,6,DPM,MBIN,2,2,1.0,284.0
odor_a_da1_left,7,lLN1_a,ALLN,3,3,1.0,282.46666666666664
odor_a_da1_left,8,lLN2F_b,ALLN,4,4,1.0,282.05
odor_a_da1_left,9,lLN2T_c,ALLN,4,4,1.0,281.4
odor_a_da1_left,10,lLN2X04,ALLN,4,4,1.0,280.05
odor_a_da1_left,11,lLN2T_e,ALLN,4,4,1.0,278.0
odor_a_da1_left,12,lLN2F_a,ALLN,4,4,1.0,277.5
odor_a_da1_left,13,lLN2X05,ALLN,4,4,1.0,276.15
odor_a_da1_left,14,DP1m_adPN,ALPN,2,2,1.0,270.20000000000005
odor_a_da1_left,15,DP1l_adPN,ALPN,2,2,1.0,266.6
odor_a_da1_left,16,lLN2X11,ALLN,4,4,1.0,263.7
odor_a_da1_left,17,VP2_adPN,ALPN,2,2,1.0,263.1
odor_a_da1_left,18,VL2p_adPN,ALPN,2,2,1.0,259.7
odor_a_da1_left,19,lLN2P_c,ALLN,9,9,1.0,258.3777777777778
odor_a_da1_left,20,DC1_adPN,ALPN,2,2,1.0,258.0
odor_b_dl2d_left,1,APL,MBIN,2,2,1.0,331.8
odor_b_dl2d_left,2,v2LN30,ALLN,2,2,1.0,290.6
odor_b_dl2d_left,3,il3LN6,ALLN,2,2,1.0,284.0
odor_b_dl2d_left,4,lLN1_bc,ALLN,30,30,1.0,281.75333333333333
odor_b_dl2d_left,5,lLN2X03,ALLN,6,6,1.0,281.6666666666667
odor_b_dl2d_left,6,lLN1_a,ALLN,3,3,1.0,278.8666666666666
odor_b_dl2d_left,7,DPM,MBIN,2,2,1.0,278.8
odor_b_dl2d_left,8,lLN2F_b,ALLN,4,4,1.0,278.3
odor_b_dl2d_left,9,lLN2T_c,ALLN,4,4,1.0,277.95
odor_b_dl2d_left,10,lLN2X04,ALLN,4,4,1.0,276.85
odor_b_dl2d_left,11,lLN2F_a,ALLN,4,4,1.0,274.85
odor_b_dl2d_left,12,lLN2T_e,ALLN,4,4,1.0,274.6
odor_b_dl2d_left,13,lLN2X05,ALLN,4,4,1.0,271.9
odor_b_dl2d_left,14,DP1m_adPN,ALPN,2,2,1.0,267.7
odor_b_dl2d_left,15,DP1l_adPN,ALPN,2,2,1.0,262.1
odor_b_dl2d_left,16,lLN2X11,ALLN,4,4,1.0,260.15
odor_b_dl2d_left,17,VP2_adPN,ALPN,2,2,1.0,260.1
odor_b_dl2d_left,18,lLN2P_c,ALLN,9,9,1.0,255.68888888888887
odor_b_dl2d_left,19,VL2p_adPN,ALPN,2,2,1.0,254.9
odor_b_dl2d_left,20,DC1_adPN,ALPN,2,2,1.0,254.70000000000002
