condition,rank,cell_type,cell_class,n_total,n_active,fraction_active,mean_rate_hz
baseline,1,5-HT-IR  Tan,ME>LA,6,0,0.0,0.0
baseline,2,LC18,None,188,0,0.0,0.0
baseline,3,LC14a1,bilateral,30,0,0.0,0.0
baseline,4,LC14a2,bilateral,23,0,0.0,0.0
baseline,5,LC14b,bilateral,38,0,0.0,0.0
baseline,6,LC15,None,106,0,0.0,0.0
baseline,7,LC16,None,151,0,0.0,0.0
baseline,8,LC17,None,276,0,0.0,0.0
baseline,9,LC19,None,15,0,0.0,0.0
baseline,10,LC27,None,37,0,0.0,0.0
baseline,11,LC20a,None,46,0,0.0,0.0
baseline,12,LC20b,LO,47,0,0.0,0.0
baseline,13,LC21,None,130,0,0.0,0.0
baseline,14,LC22,None,89,0,0.0,0.0
baseline,15,LC24,None,75,0,0.0,0.0
baseline,16,LC25,None,60,0,0.0,0.0
baseline,17,LC13,None,145,0,0.0,0.0
baseline,18,LC12,None,380,0,0.0,0.0
baseline,19,LC11,None,127,0,0.0,0.0
baseline,20,LC10f,None,4,0,0.0,0.0
kc_set_a,1,APL,MBIN,2,1,0.5,116.2
kc_set_a,2,MBON09,MBON,4,4,1.0,63.65
kc_set_a,3,CB0687,None,2,2,1.0,55.5
kc_set_a,4,MBON11,MBON,2,2,1.0,48.800000000000004
kc_set_a,5,MBON02,MBON,2,2,1.0,43.5
kc_set_a,6,MBON03,MBON,2,1,0.5,40.0
kc_set_a,7,MBON14,MBON,4,2,0.5,37.349999999999994
kc_set_a,8,VES079,None,2,2,1.0,32.4
kc_set_a,9,LAL112,None,4,4,1.0,31.45
kc_set_a,10,ATL011,None,2,2,1.0,20.1
kc_set_a,11,MBON32,MBON,2,1,0.5,20.1
kc_set_a,12,PPL106,DAN,2,2,1.0,19.1
kc_set_a,13,CRE011,None,2,2,1.0,18.8
kc_set_a,14,SIP088,None,2,1,0.5,18.8
kc_set_a,15,PPL101,DAN,2,1,0.5,16.0
kc_set_a,16,LAL144a,None,2,2,1.0,15.2
kc_set_a,17,LHCENT1,LHCENT,2,2,1.0,13.4
kc_set_a,18,MBON07,MBON,4,2,0.5,11.4
kc_set_a,19,MBON35,MBON,2,1,0.5,10.6
kc_set_a,20,CB0584,None,2,2,1.0,10.6
kc_set_b,1,APL,MBIN,2,2,1.0,117.3
kc_set_b,2,MBON09,MBON,4,4,1.0,62.25
kc_set_b,3,CB0687,None,2,2,1.0,56.4
kc_set_b,4,MBON03,MBON,2,1,0.5,52.4
kc_set_b,5,MBON14,MBON,4,2,0.5,39.75
kc_set_b,6,MBON11,MBON,2,2,1.0,36.900000000000006
kc_set_b,7,LHCENT1,LHCENT,2,2,1.0,26.700000000000003
kc_set_b,8,MBON04,MBON,2,1,0.5,26.2
kc_set_b,9,MBON02,MBON,2,2,1.0,25.8
kc_set_b,10,SIP088,None,2,1,0.5,24.6
kc_set_b,11,PPL106,DAN,2,2,1.0,24.0
kc_set_b,12,MBON07,MBON,4,2,0.5,21.549999999999997
kc_set_b,13,MBON32,MBON,2,2,1.0,21.3
kc_set_b,14,LAL051,None,2,2,1.0,17.5
kc_set_b,15,MBON18,MBON,2,1,0.5,13.5
kc_set_b,16,LHCENT6,LHCENT,2,2,1.0,10.3
kc_set_b,17,PPL101,DAN,2,1,0.5,10.0
kc_set_b,18,MBON23,MBON,2,1,0.5,9.0
kc_set_b,19,CB0646,None,2,1,0.5,8.9
kc_set_b,20,MBON26,MBON,2,1,0.5,8.9
