root_id,cell_type,times_in_top10_of_12,mean_diff_a_minus_b_hz,sign_consistent_all12
720575940624590316,MBON03,12,-32.4,True
720575940617552340,MBON02,12,22.7,True
720575940652390134,MBON07,12,-22.6,True
720575940617302365,MBON07,12,-23.5,True
720575940628734376,MBON04,11,-29.0,True
720575940629981440,MBON26,11,-17.3,True
720575940623201833,MBON11,10,18.8,True
720575940617567206,MBON23,9,-15.9,True
720575940637902938,MBON35,6,15.1,True
720575940630864847,MBON09,6,-13.4,True
720575940624539284,MBON18,6,-14.3,True
720575940621828443,MBON12,4,14.2,True
720575940629422086,MBON09,3,14.3,True
720575940629856515,MBON09,2,13.1,True
720575940622979277,MBON27,1,-11.4,True
720575940623377802,MBON16,1,-10.6,True
720575940624185095,MBON02,1,9.5,True
720575940614595218,MBON28,1,-11.5,True
