duration_ms,trials,n_union_mbons,cosine_distance,euclidean_distance_hz,max_abs_diff_hz,snr_max_over_std,top1_sqdiff_frac,top5_sqdiff_frac,rate_quant_hz
1000,5,39,0.051,78.6,35.2,2.85,0.201,0.565,0.2
1000,2,37,0.0482,76.44,33.0,2.7,0.186,0.547,0.5
1000,1,36,0.0506,78.88,33.0,2.58,0.175,0.543,1.0
500,5,39,0.0484,76.4,33.2,2.76,0.189,0.556,0.4
500,2,32,0.0491,77.92,30.0,2.27,0.148,0.528,1.0
500,1,30,0.0516,78.99,30.0,2.18,0.144,0.568,2.0
200,5,35,0.0462,75.58,34.0,2.74,0.202,0.534,1.0
200,2,34,0.0469,75.79,32.5,2.64,0.184,0.524,2.5
200,1,30,0.0506,79.69,35.0,2.52,0.193,0.551,5.0
100,5,36,0.0619,84.97,40.0,2.84,0.222,0.571,2.0
100,2,32,0.0706,93.27,50.0,3.1,0.287,0.644,5.0
100,1,30,0.0827,100.0,50.0,2.83,0.25,0.58,10.0
