duration_ms,trials,runtime_seconds_a,runtime_seconds_b,runtime_seconds_baseline,total_wall_seconds,target_mean_rate_hz_a,target_mean_rate_hz_b,nonstim_kc_active_fraction_left_a,nonstim_kc_active_fraction_right_a,nonstim_kc_active_fraction_left_b,nonstim_kc_active_fraction_right_b,nonstim_kc_active_fraction_max,n_mbons_nonzero_a,n_mbons_nonzero_b,mbon_identity_jaccard,separation_score_cosine_distance,separation_score_ratio_to_reference,baseline_active_fraction_gt_0_hz,passes_acceptance
1000.0,5,34.62215204200038,185.14563999999882,25.392846832997748,219.7677920419992,147.74399999999991,147.74400000000003,0.0,0.0,0.0,0.0,0.0,33,33,0.6923076923076923,0.050957789910918816,1.0,0.0,True
1000.0,2,14.567472458998964,14.081744959003117,25.392846832997748,28.64921741800208,148.14,148.14,0.0,0.0,0.0,0.0,0.0,30,30,0.6216216216216216,0.0482362877593856,0.9465930104839559,0.0,True
1000.0,1,7.251170875002572,7.133960708000814,25.392846832997748,14.385131583003385,149.58,149.58,0.0,0.0,0.0,0.0,0.0,29,30,0.6388888888888888,0.050574985072553647,0.9924878053181984,0.0,True
500.0,5,127.06437241700041,551.619377832998,11.432664499996463,678.6837502499984,148.23599999999996,148.236,0.0,0.0,0.0,0.0,0.0,36,32,0.7435897435897436,0.048431861661238584,0.9504309693553057,0.0,True
500.0,2,221.4204283339932,218.851077875006,11.432664499996463,440.2715062089992,149.57,149.57,0.0,0.0,0.0,0.0,0.0,26,31,0.78125,0.049055202981547086,0.9626634724014187,0.0,True
500.0,1,108.79011504099617,104.068945291001,11.432664499996463,212.85906033199717,147.68,147.68,0.0,0.0,0.0,0.0,0.0,22,30,0.7333333333333333,0.05159534452208714,1.0125114258739019,0.0,True
200.0,5,581.2584107500006,593.9831097920032,8.16244345800078,1175.2415205420039,149.53,149.53,0.0,0.0,0.0,0.0,0.0,31,30,0.7428571428571429,0.046163641131152455,0.9059192169019263,0.0,True
200.0,2,273.1738295000032,263.65469958299946,8.16244345800078,536.8285290830026,148.325,148.325,0.0,0.0,0.0,0.0,0.0,29,30,0.7352941176470589,0.046871651824491045,0.9198132789202417,0.0,True
200.0,1,130.17501574999915,123.13375379200443,8.16244345800078,253.30876954200357,150.8,150.8,0.0,0.0,0.0,0.0,0.0,21,30,0.7,0.05064665967713555,0.9938943538499774,0.0,True
100.0,5,578.2525616659987,588.0102475409949,7.198340709001059,1166.2628092069936,147.58,147.58,0.0,0.0,0.0,0.0,0.0,30,31,0.6944444444444444,0.061898128664095164,1.2146941374871547,0.0,True
100.0,2,242.22315429100126,232.53209662500012,7.198340709001059,474.7552509160014,150.65,150.65,0.0,0.0,0.0,0.0,0.0,24,31,0.71875,0.07057187390099862,1.3849084511782772,0.0,True
100.0,1,113.19674991699867,111.74257874999603,7.198340709001059,224.9393286669947,148.8,148.8,0.0,0.0,0.0,0.0,0.0,20,30,0.6666666666666666,0.0827358949128113,1.6236162333069186,0.0,True
